I love this sandwitch,pos
This is an amazing place,pos
I feel very good about these beers,pos
This is my best work,pos
what an awesome view,pos
I dont like this restuarant,neg
I am tired of this stuff,neg
I cant deal with this,neg
He is my sworn enemy,neg
My boss is horible,neg
This is an awesome place,pos
I dont like the taste of this juice,neg
I love to dance,pos
Im sick and tired of this place,neg
what a great holidays,pos
That is a bad locality to stay,neg
we will have a good fun tommorrow,pos
I went to my enemy's house today,neg
